"Town_Name","Population","Total_Offenses","Offense_Rate","Violent_Crimes","Violent_Crime_Rate","Property_Crimes","Property_Crime_Rate"
"Achille","521","0","0.0","0","0.0","0","0.0"
"Adair","15,941","442","27.7","42","2.6","190","11.9"
"Alfalfa","4,276","74","17.3","4","0.9","25","5.8"
"Allen","935","29","31.0","0","0.0","9","9.6"
"Altus","19,054","1,296","68.0","45","2.4","529","27.8"
"Alva","5,149","210","40.8","6","1.2","72","14.0"
"Amber","460","5","10.9","0","0.0","3","6.5"
"Anadarko","6,756","830","122.9","31","4.6","266","39.4"
"Antlers","2,306","95","41.2","3","1.3","38","16.5"
"Apache","1,439","69","47.9","4","2.8","35","24.3"
"Arkoma","1,914","35","18.3","3","1.6","19","9.9"
"Atoka","9,722","158","16.3","1","0.1","109","11.2"
"Atoka","3,056","238","77.9","10","3.3","101","33.0"
"Avant","314","1","3.2","0","0.0","1","3.2"
"Barnsdall","1,197","34","28.4","1","0.8","16","13.4"
"Beaver","3,883","57","14.7","3","0.8","30","7.7"
"Beaver","1,429","6","4.2","0","0.0","3","2.1"
"Beckham","4,746","174","36.7","4","0.8","86","18.1"
"Beggs","1,244","28","22.5","1","0.8","7","5.6"
"Bernice","562","2","3.6","0","0.0","0","0.0"
"Big Cabin","257","68","264.6","0","0.0","18","70.0"
"Billings","504","4","7.9","0","0.0","2","4.0"
"Binger","654","7","10.7","0","0.0","0","0.0"
"Bixby","26,131","1,127","43.1","31","1.2","530","20.3"
"Blackwell","6,765","372","55.0","11","1.6","121","17.9"
"Blaine","4,694","130","27.7","8","1.7","68","14.5"
"Blanchard","8,649","244","28.2","7","0.8","109","12.6"
"Boise City","1,074","7","6.5","0","0.0","4","3.7"
"Bokoshe","493","12","24.3","1","2.0","6","12.2"
"Boley","1,183","6","5.1","0","0.0","0","0.0"
"Boswell","688","10","14.5","0","0.0","5","7.3"
"Bristow","4,251","530","124.7","7","1.6","257","60.5"
"Broken Bow","4,100","609","148.5","18","4.4","254","62.0"
"Bryan","22,868","195","8.5","17","0.7","112","4.9"
"Burns Flat","2,001","3","1.5","0","0.0","0","0.0"
"Cache","2,857","125","43.8","2","0.7","40","14.0"
"Caddo","1,070","36","33.6","0","0.0","19","17.8"
"Caddo","13,302","300","22.6","14","1.1","145","10.9"
"Calera","2,295","13","5.7","2","0.9","6","2.6"
"Canadian","6,434","467","72.6","9","1.4","148","23.0"
"Caney","197","68","345.2","1","5.1","7","35.5"
"Carnegie","1,711","48","28.1","3","1.8","17","9.9"
"Carney","664","28","42.2","0","0.0","13","19.6"
"Carter","12,225","317","25.9","13","1.1","174","14.2"
"Cashion","860","17","19.8","0","0.0","2","2.3"
"Cement","499","5","10.0","0","0.0","1","2.0"
"Chandler","3,194","176","55.1","10","3.1","51","16.0"
"Chattanooga","441","7","15.9","0","0.0","2","4.5"
"Checotah","3,207","300","93.5","8","2.5","120","37.4"
"Chelsea","1,972","80","40.6","3","1.5","27","13.7"
"Cherokee","1,553","79","50.9","4","2.6","27","17.4"
"Cherokee","31,167","1,450","46.5","82","2.6","558","17.9"
"Chouteau","2,088","46","22.0","3","1.4","25","12.0"
"Cimarron","1,031","48","46.6","0","0.0","0","0.0"
"Clayton","780","38","48.7","0","0.0","13","16.7"
"Cleveland","16,030","798","49.8","48","3.0","323","20.1"
"Clinton","9,455","416","44.0","17","1.8","185","19.6"
"Coal","3,418","173","50.6","3","0.9","74","21.7"
"Coalgate","1,850","44","23.8","0","0.0","4","2.2"
"Colbert","1,207","10","8.3","1","0.8","2","1.7"
"Colcord","814","109","133.9","1","1.2","28","34.4"
"Collinsville","6,836","269","39.4","4","0.6","115","16.8"
"Comanche","18,761","599","31.9","12","0.6","246","13.1"
"Comanche","1,595","147","92.2","3","1.9","39","24.5"
"Commerce","2,458","116","47.2","22","9.0","61","24.8"
"Cordell","2,852","107","37.5","6","2.1","38","13.3"
"Cotton","3,407","34","10.0","2","0.6","18","5.3"
"Covington","547","4","7.3","0","0.0","0","0.0"
"Coweta","9,718","656","67.5","19","2.0","298","30.7"
"Coyle","367","0","0.0","0","0.0","0","0.0"
"Craig","8,686","351","40.4","15","1.7","121","13.9"
"Creek","34,115","883","25.9","43","1.3","431","12.6"
"Crescent","1,564","106","67.8","2","1.3","22","14.1"
"Cushing","7,790","695","89.2","28","3.6","288","37.0"
"Custer","6,582","191","29.0","15","2.3","76","11.5"
"Cyril","1,053","0","0.0","0","0.0","0","0.0"
"Davenport","826","15","18.2","0","0.0","5","6.1"
"Davis","2,822","292","103.5","14","5.0","105","37.2"
"Delaware","29,776","765","25.7","42","1.4","349","11.7"
"Depew","482","19","39.4","0","0.0","3","6.2"
"Dewar","865","8","9.2","2","2.3","4","4.6"
"Dewey","3,241","115","35.5","3","0.9","32","9.9"
"Dewey","3,513","216","61.5","3","0.9","92","26.2"
"Dibble","846","40","47.3","1","1.2","12","14.2"
"Dickson","1,253","16","12.8","0","0.0","3","2.4"
